"བཀའ་འགྱུར།","6","Work"
"བཀའ་འགྱུར།","543","Work"
"བཀའ་འགྱུར།","2203","Topic"
"བཀའ་འགྱུར་ཁང་།","6","Work"
"བཀའ་འགྱུར། ༼བོན་པོ།༽","6","Work"
"བཀའ་འགྱུར ༼སྡེ་དགེ༽","6","Work"
"བོན་པོའི་བཀའ་འགྱུར།","6","Work"
"བཀའ་འགྱུར་རོ་འཚལ།","2203","Topic"
"སྡེ་དགེ་བཀའ་འགྱུར། ","6","Work"
"བཀའ་འགྱུར་བ་ནོ་མོན་ཧན།","34","Person"
"བཀའ་འགྱུར་དཀར་ཆག་ཁག་ཅིག","6","Work"
"བཀའ་འགྱུར་གྱི་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་རྒྱུད་སྡེའི་སྐོར།","6","Work"
"ཞོལ་བཀའ་འགྱུར་པར་ཁང་།","125","Place"
"ལྷ་ས་བཀའ་འགྱུར་དང་སྣར་ཐང་བཀའ་འགྱུར་གྱི་དཀར་ཆག་མདོར་བསྡུས།","6","Work"
"ཞོལ་བཀའ་འགྱུར་དཔར་ཁང་།","125","Place"
"ཞོལ་བཀའ་འགྱུར་སྤར་ཁང་།","125","Place"
"ཁུ་རེའི་བཀའ་འགྱུར་དཀར་ཆག","6","Work"
"ལི་ཐང་བཀའ་འགྱུར་དཀར་ཆག","6","Work"
"བོན་གྱི་བཀའ་འགྱུར་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་བ་ཤཱཀྱ་རྒྱལ་མཚན།","12","Person"
"རྟ་དབང་བཀའ་འགྱུར་དཀར་ཆག","6","Work"
"མགོ་ཟླའི་བཀའ་འགྱུར་བཅའ་ཚེ།","6","Work"
"ཨུརྒ་བཀའ་འགྱུར་གྱི་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་ལུང་ཁུངས་ཟིན་བྲིས།","6","Work"
"བཀའ་འགྱུར་བཞེངས་པའི་ཁ་བྱང་།","6","Work"
"བཀའ་འགྱུར་གསོ་རིག་གཅེས་བཏུས།","6","Work"
"སོག་ཡིག་བཀའ་འགྱུར་པར་མ།","6","Work"
"འཇང་བཀའ་འགྱུར་གྱི་དཀར་ཆག","6","Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རོ་ཅོག","2203","Topic"
"བཀའ་འགྱུར་རོ་ཅོག་སྙིང་པོ།","27","Work"
"བཀའ་འགྱུར་བ་བློ་བཟང་ཐུབ་བསྟན།","25","Person"
"བཀའ་འགྱུར་བ་ངག་དབང་རབ་བརྟན།","4","Person"
"བཀའ་འགྱུར་སྙིང་པོ་བསྡུས་པའི་གཟུངཤ།","6","Work"
"བཀའ་འགྱུར་བ་འཇིགས་མེད་རབ་རྒྱས།","4","Person"
"བཀའ་འགྱུར་བ་བློ་བཟང་ཆོས་འཛིན།","12","Person"
"བཀའ་འགྱུར་བ་བློ་བཟང་ཉི་མ།","12","Person"
"བཀའ་འགྱུར་བ་བློ་བཟང་ཚུལ་ཁྲིམས།","114","Person"
"བཀའ་འགྱུར་བ་དགའ་ལྡན་བསྟན་འཛིན།","20","Person"
"ཕུག་བྲག་བཀའ་འགྱུར་གྱི་དཀར་ཆག","6","Work"
"སྟོག་ཕོ་བྲང་གི་བཀའ་འགྱུར་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་བ་ཐབས་མཁས་རྒྱ་མཚོ།","20","Person"
"བཀའ་འགྱུར་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","15","Work"
"ཨོ་རྒྱན་གླིང་བཀའ་འགྱུར་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","15","Work"
"མདོ་སྔགས་བཀའ་འགྱུར་དཀར་ཆག་དང་བཀའ་འགྱུར་རོ་ཅོག་གི་དཀར་ཆག་བསྟན་པ་གསལ་བའི་སྒྲོན་མེ།","6","Work"
"བཀའ་འགྱུར་བླ་མ་བློ་བཟང་ཆོས་འཕེལ།","20","Person"
"འཇང་ས་ཐམ་བཀའ་འགྱུར་གྱི་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་ལས་འབུམ། ཉི་ཁྲི། བརྒྱད་སྟོང་།","6","Work"
"བཀའ་འགྱུར་གྱི་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","6","Work"
"བཀའ་འགྱུར་སོག་ཡིག་པར་མའི་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་བླ་མ་བློ་བཟང་དབང་ཕྱུག","1","Person"
"རྒྱལ་བའི་བཀའ་འགྱུར་ཡིད་བཞིན་ནོར་བུ།","6","Work"
"བཀའ་འགྱུར་ཀློག་སྐབས་དྲན་གསོར་བྲིས་པ།","9","Work"
"བཀའ་འགྱུར་དཀར་ཆག་བོད་རྒྱ་ཤན་སྦྱར།","6","Work"
"བཀའ་འགྱུར་གསེར་བྲིས་བཞེངས་དུས་ཀྱི་དགེ་བསྔོ་།","6","Work"
"ཕུག་བྲག་བཀའ་འགྱུར་བྲིས་མའི་དཀར་ཆག","6","Work"
"བཀའ་འགྱུར་གྱི་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","6","Work"
"བཀའ་འགྱུར་གྱི་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","8","Work"
